video_id,instance_id,query
-Bo3qO_HkEQ,0,baby rolling over carpet
-CzttfT_7uM,0,siamese cat is rolling outside
-EKuFGo77JM,0,a baby is rolling on the floor
-EKuFGo77JM,1, green ball is on the floor
-FeMotilSE8,0,man rolling on the grass
-HpFtQGQ7l8,0,the cat is rolling over
-J7SggJdfJA,0,Black white cat is jumping from one cabinet to another
-JaavP2RFzA,0,parrot is jumping on couch back
-K_YK2Ct5f8,0,a white dog is eating food
-MTB_0zfFXc,0,a woman is playing with her cat outside
-MTB_0zfFXc,1,Tiger cat is jumping in the corridor
-MYguBhCWSM,0,a man is rolling 
-MYguBhCWSM,1,rightmost man standing in the back
-MYguBhCWSM,2,woman in yellow belt standing in the middle
-MYguBhCWSM,3,a person in white is watching on the left
-MYguBhCWSM,4,Guy in kimono standing on the left
-QSOuKmwbeo,0,bird flying in the sky
-QSOuKmwbeo,1,a bird on the rightmost is flying
-RTVlR5FrHw,0,Woman in black coat walking in front of the camera
-RTVlR5FrHw,1,man in black with a backpack standing on the right
-RTVlR5FrHw,2,Man walking on the street
-RTVlR5FrHw,3,a person in dark on the left is standing
-TeTejh1ebs,0,a person in green is climbing up a rock
-UQLalti9dI,0,man rolling on the mat
-VqyimSxbpg,0,bird walking on the grass
-WXtonEw8-0,0,Wavy parrot is faking to be dead
-WXtonEw8-0,1,Man shoot the bird
-XgH1VvAKcA,0,a bird is standing on an object indoor watching outside
-YAVP7JseLQ,0,Furry black dog running on the grass
-YAVP7JseLQ,1,a person in blue jean and black jacket is running
-YAVP7JseLQ,2,a girl on the right is jumping
-YAVP7JseLQ,3,black car parking in the back
-YM5_oSdP1c,0,white cat rolling on the carpet
-YM5_oSdP1c,1,white cat rolling on the carpet
-ZG23ZWRtuM,0,baby walking with a woman
-ZG23ZWRtuM,1,Woman in orange shirt holding her baby
-aN1E545q_Q,0,the person is crawling
-d82zJg5qoY,0,the car is driving along a road
-d8EYyveK_E,0,silver car parking on the right
-d8EYyveK_E,1,a black car on the right is passing 
-d8EYyveK_E,2,a person with a black jacket is walking multiple dogs
-d8EYyveK_E,3,dog on the left walking
-d8EYyveK_E,4,the second dog to the left walking behind a man
-d8EYyveK_E,5,dog walking with a man in the middle
-d8EYyveK_E,6,second dog from the right walking behind a man
-d8EYyveK_E,7,rightmost dog walking behind a man
-dP_5L19sdc,0,a man with white shirt is crawling on the left
-dP_5L19sdc,1,boy in blue t shirt crawling 
-esJrBWj2d8,0,Orange cat is eating from plastic pack
-fZzPnx706g,0,black dog is running in the grass
-g-zmU_D-e8,0,White black cat climbing the pillar
-gLdLiByqTY,0,a baby is climbing up a ladder
-guBVgQsnWs,0,black bird flying
-iRDLJ2wK1A,0,Blue bird is faking to be dead
-iRDLJ2wK1A,1,hand of a man is moving
-jR_xfZwFNM,0,man in white shirt running
-jR_xfZwFNM,1,man in black suit and white pant standing by the track
-lF5o3IOBm0,0,sports car driving
-ljbOmNX7x0,0,a big white ball is rolling
-or3GptmdFI,0,man rolling on the ground
-qgEE3uxVp0,0,Dog is crawling in the living room
-qgEE3uxVp0,1,woman is sitting on the knees
-rr80jAfErA,0,a car is rolling on the ground
-sPo-af9vKk,0,a baby in dark shirt is climbing up his bed
-sPo-af9vKk,1,Baby holding the fence of the bed
-vKye57piuk,0,the bird is climbing
-vQ2Q2_knC0,0,a woman in white shirt is walking on the left
-vQ2Q2_knC0,1,Man in gray outfit with black hat walking
-vQ2Q2_knC0,2,a woman with purple shirt is walking in a hospital
-vQ2Q2_knC0,3,the woman in the white shirt is walking along the hallway
-vQ2Q2_knC0,4,a woman in green shirt on the right is walking
-vW_-uMY4N0,0,the bird is hopping around
-vaUNnR9V_g,0,Black dog jumping over the fence
-vaUNnR9V_g,1,a black dog is jumping
-vaUNnR9V_g,2,Man in red shirt standing near fence
-vaUNnR9V_g,3,woman in red top standing behind the left red pillar
-vkNA2MhpcU,0,Woman is climbing a vertical rock
-w_AoYHLkb8,0,Cat is eating on the table
-xXJZjaJZ_Y,0,a green bird is rolling 
-xXJZjaJZ_Y,1,hand is showing a parrot to roll
-xrM_VI77UQ,0,a blue car is jumping up and down
-xrM_VI77UQ,1,Black pickup truck is standing on the grass
-xrM_VI77UQ,2,dark colored car on the right
-xrM_VI77UQ,3,a light blue car on the back is parked
-xrM_VI77UQ,4,man in white walking beside a black car
-xrM_VI77UQ,5,Old lady with gray hair walking by the trunk
01wmkiDXDD8,0,an orange ball is jumping up and down
01wmkiDXDD8,1,man in blue shirt doing dribble
025gzoHW30M,0,a red bird on the left is sitting on top of a wall
025gzoHW30M,1,a reddish bird is eating on the left 
02WkK5o25ws,0,a boy in white shirt is throwing a ball to the basket
02WkK5o25ws,1,the basketball is thrown through the hoop
0319d9UyJkk,0,man in black shirt and blue short pants climbing
06Wrbztspa4,0,Gray cat catching the hand of the man
06Wrbztspa4,1,Ball in the green shirt is playing with the cat
07qn-A4ENo8,0,Baby in yellow costume rolling on the mat
08DluNtGnUY,0,a bird is rolling
08x3P2E122U,0,Guy is struggling to climb over stone block
0997Fi4HXIY,0,dog walking with a man
0997Fi4HXIY,1,a man is walking
09jkWVQS4XI,0,dog crawling on the grass
0AyidPC70qw,0,baby crawling
0B_n_5ei8Ts,0,Cute white cat rolling on the floor
0E_2RKLEE8I,0,a bird is pecking something indoor
0E_IgPIOESA,0,a white black volkswagen is standing in a showroom
0Iah8AZLEmc,0,a yellow parrot is standing on the floor
0JfJGE1AZrg,0,dog rolling on the floor
0KHqCpC2ODA,0,metal ball bouncing up and down
0KyLZWRC5-M,0,a black bird is eating something on the grass
0LDJX4duVRU,0,Brown white dog crawling on the floor
0LDJX4duVRU,1,a man is walking back
0MVNR3JvL1U,0,a guy with red shirt is climbing
0MVNR3JvL1U,1,man in blue shirt climbing on left
0MVNR3JvL1U,2,the man in the blue shirt is officiating at a speed climbing competition
0MVNR3JvL1U,3,woman sitting on the left
0MVNR3JvL1U,4,a person in the middle is sitting in front of camera
0MVNR3JvL1U,5,man on the right sitting
0MaD7Ltqccs,0,Baby girl is walking in the corridor
0MaD7Ltqccs,1,a woman in black is walking on the right
0NPlxaSbrGc,0,the dog is running on a golf course
0NPlxaSbrGc,1,girl running on the lawn
0OJCvoN10DQ,0,Guy in red shirt standing on the grass
0OJCvoN10DQ,1,the man in white is rolling down a hill
0PK3U0K7AzE,0,a cat is eating a fish
0PL3ioahHLo,0,baby crawling on the left
0PL3ioahHLo,1,baby on the right is crawling
0QCmP0CebB8,0,green bird rolling on the floor
0QCmP0CebB8,1,the hand of the man is making a gun symbol
0QJt7pXOnRk,0,baby boy is walking towards camera
0RBrmdUTPkE,0,a bird is eating food
0RHlQdSs61U,0,the ball is rolling on the hardwood floor
0RHlQdSs61U,1,a baby is crawling
0RI2dViYmXU,0,parrot rolling
0RRW86v4Z08,0,a bird is rolling
0RRW86v4Z08,1,woman is sitting on the red couch
0S0aQ0GArRc,0,the person with long blond hair is playing football
0S0aQ0GArRc,1,Guy in white shirt is standing in the left corner
0S0aQ0GArRc,2,player in blue shirt kicking a football on the left
0S0aQ0GArRc,3,man in blue shirt is playing football in front of the camera
0S0aQ0GArRc,4,an afro american guy is rolling between his friends
0S0aQ0GArRc,5,Guy in the black shirt is standing behind other players
0S0aQ0GArRc,6,football on the back left
0S0aQ0GArRc,7,player in blue shirt passing ball on the right
0S0aQ0GArRc,8,a white ball is moving around players
0S0aQ0GArRc,9,the man is watching the other men pass a soccer ball around
0T0Cm9oK5bg,0,a yellow baby is climbing up a stair
0T0Cm9oK5bg,1,a man in red shirt is sitting
0T3qMnUyB4s,0,Cat is slowly flying in the air
0T3qMnUyB4s,1,a white cat is jumping
0T3qMnUyB4s,2,brown cat lying on the left
0VFPCin4ENA,0,a  black and white cat is eating food
0VFPCin4ENA,1,the black cat is backing of
0Wd6E1JOmsg,0,a white and orange car is jumping a ramp
0Wd6E1JOmsg,1,man in black t shirt and gray pant standing by the road
0Wd6E1JOmsg,2,the second man from the left in red is watching
0Wd6E1JOmsg,3,the second person from the right is watching a car
0Wd6E1JOmsg,4,guy in white shirt standing in the forrest
0Xm-9oTzWa0,0,yellow bird climbing
0XqFHeynFwM,0,black bird pecking the tree trunk
0Ygu7XdkggA,0,kid rolling over
0ZE2_SbdGWY,0,Girl eating food in front a microphone
0b_KrJf9uic,0,a black guy with yellow sport shoes is running outside for training purposes
0cOr5_ECxvU,0,Black cat running out in fear
0cbbqMbMJyc,0,a red car rolling
0cbbqMbMJyc,1,Person in white outfit with a white hat standing
0cbbqMbMJyc,2,Guy in white costume standing between tow other guys
0cbbqMbMJyc,3,man in white standing on the far left
0ckDwjPokW0,0,a man is climbing a rock
0ckDwjPokW0,1,a man in blue shirt is watching
0ckDwjPokW0,2,man in gray shirt standing in the bottom left corner
0d4sHcxidUY,0,a bird is climbing up the fence
0dOR4MkwTw4,0,green bird climbing stairs
0deYp3CHiPw,0,Soldier is crawling below barbed wires
0dgHAuoJKQY,0,white dog running
0dgHAuoJKQY,1,brown dog running with a white dog
0dgHAuoJKQY,2,a man in dark is walking on the right
0eWa5F6SCMs,0,black cat climbing the ladder
0fdFCrYbjcg,0,cat running in the wheel
0fdFCrYbjcg,1,woman sitting next to a cat
0fnwII_b3S4,0,a cat is climbing up
0gZz8hESBEs,0,man with sunglasses walking
0gZz8hESBEs,1,a boy in white shirt is walking and then felling down
0gZz8hESBEs,2,girl in black top walking with another girl
0gZz8hESBEs,3,girl in purple top and black pants walking with another girl
0iO3tegfR4g,0,parrot jumping on the bed
0kKLgSTkCEo,0,a man is rolling on the ground
0kiaG1wDovo,0,an orange car is jumping up and down
0kiaG1wDovo,1,man in black standing on left
0kiaG1wDovo,2,a man in white shirt is sitting in the middle and watching
0kiaG1wDovo,3,man in black shirt and jeans standing on the right
0l3iPKBLsqs,0,a car is jumping up and down
0lb6hfFvsZw,0,man in brown short t shirt climbing
0likA4G9N-g,0,parrot is carrying something
0likA4G9N-g,1,a man is sitting on the right
0lxhJQFzikQ,0,car jumping into the water
0lxhJQFzikQ,1,a car is parked on the left
0m1O4YzBGyo,0,the baby is rolling over
0nCVIRgUItY,0,man in white shirt eating
0sUGeVNVSeQ,0,Girl in a nice dress climbing the stairs
0smdUX75h0Q,0,the dog is crawling along on its belly
0syY70eRHKs,0,man eating
0syY70eRHKs,1,man in black shirt is standing on the right
0t4pWrgTHv0,0,a bird is flying
0uv_N0EhfmQ,0,a man in suit is running 
0uv_N0EhfmQ,1,brown dog walking with a man
0xFmIZNNPbQ,0,cat walking in the room
0zl1Y8lhSYk,0,a boy is playing with a ball
0zl1Y8lhSYk,1,ball bouncing up and down
1-Q_DaH8Clw,0,a black car is jumping up and down
1-Q_DaH8Clw,1,a guy with white shirt is watching a black car rolling
10MoANXh4LE,0,car jumping up and down
10MoANXh4LE,1,man in white top standing next to the car
10XCfvnVUL0,0,car flipping over the ground
10XCfvnVUL0,1,blue car is turning a corner
10XCfvnVUL0,2,green car running on the road
10XCfvnVUL0,3,a white car appears on the back of 3 other cars
10XCfvnVUL0,4,Car parking by the road
10XCfvnVUL0,5,a white car is parked on the back
11fN5sykj2I,0,a cute cat is rolling on the floor
129w7Et1Xnw,0,the bird is biting a finger
14I_X1_M7B8,0,a baby is rolling
14gWirURq6I,0,a baby in white shirt is crawling
157RAPLxUpQ,0,boy in black tracksuit is running
157RAPLxUpQ,1,a man in blue shirt is entering the field and picking up something
15s9dCWCMwQ,0,Cat climbing the green wall
15ze_5lekm4,0,someone with red shirt is climbing in the mountain
1926p23ooUM,0,a man in black is playing and throwing a ball
1926p23ooUM,1,Ball is dribbled across the cones
19dJTBEjS8Q,0,Guy in blue shirt and jeans standing near the column
19dJTBEjS8Q,1,half naked guy is running from left to right
1Am_eZhq0wg,0,The guy showing basketball exercise with a ball
1Am_eZhq0wg,1,a red ball is jumping up and down
1ApyqVU93N4,0,Girl in yellow dress standing near the woman
1ApyqVU93N4,1,baby in red shirt reaching a toy
1ApyqVU93N4,2,Girl in yellow dress standing near the woman
1DIeaJqt6bU,0,Cat is jumping to the wardrobe
1DX-aZNP5NQ,0,a yellow car in front is moving
1DX-aZNP5NQ,1,the third car in the ranking is moving
1DX-aZNP5NQ,2,red car running at second
1DX-aZNP5NQ,3,a car is moving in the middle
1FNCqCO9u5c,0,woman in black and white dress standing at the table
1FNCqCO9u5c,1,a woman in black is standing
1FNCqCO9u5c,2,ball rolling inside pathway
1FNCqCO9u5c,3,woman in pink standing next to a table
1Fmmpda6-Z8,0,Guy in the orange shirt shooting the ball
1Fmmpda6-Z8,1,Guy in blue shirt with number one walking on the court
1Fmmpda6-Z8,2,a person in the middle is standing
1Fmmpda6-Z8,3,man in black shirts and white shorts running on left
1Fmmpda6-Z8,4,a red ball is flying
1HZMPK3bwqE,0,the white dog is jumping rope
1HZMPK3bwqE,1,man in white standing on the left
1Ia-xwNoFHE,0,the person is eating with a cat resting on his shoulder
1Ia-xwNoFHE,1,Black skinny cat sitting on the shoulders of the man
1Ib_2-qdFhk,0,a man eating a big sandwich
1Ib_2-qdFhk,1,a man with green shirt is sitting on the right
1J04SrAbtcg,0,man in black climbing the wall on the right
1J04SrAbtcg,1,man in black suite on the left sitting on the wall
1J67hpI4wOk,0,man climbing rocks in the center
1J67hpI4wOk,1,man in black jacket standing on the right
1KuItO3ZqaM,0,black dog crawling
1LdhIsz6INQ,0,the man in red shorts is shooting a basketball
1LdhIsz6INQ,1,Orange ball is flying to the basket
1LigKS2VHiw,0,a cat is climbing a tree
1MV4W0BrsLo,0,a bird is rolling on the ground
1NMBNBJejFI,0,a cat is jumping from right to left
1NYANpd5Grs,0,black dog is eating a meat
1NZgPOEn66U,0,white fuzzy dog is running in the corridor
1NZgPOEn66U,1,person walking the dog
1NrSGmxydbE,0,the baby is laying around
1PgcxZ7uopY,0,a baby is crawling
1Qljiu90ePc,0,brown dog jumping for food
1Qljiu90ePc,1,woman standing and holding a toy 
1RP7TSzEk7w,0,a black and brown dog is sitting on the floor
1TY6VJH-wqY,0,a car is jumping up and down
1TY6VJH-wqY,1,a person in white tshirt is watching on the left
1VkVlYIbMP4,0,a cat on the right is walking
1VkVlYIbMP4,1,Light gray cat is watching for another cat
1X11t4cb8Jg,0,man in blue shirt is crawling on the green floor
1_IQZrTz5Hw,0,a baby is walking
1_rWbFfaGNE,0,a baby is climbing up a baby seat
1bZde3PaFW0,0,a man in dark is rolling
1bZde3PaFW0,1,a man in red tshirt is sitting 
1dBH-ukFdc0,0,a white dog is eating food
1dImlUKb_vM,0,Orange ball is rolling on the road
1dImlUKb_vM,1,dog walking on the orange ball
1dpdGHv8hHU,0,black dog crawling
1f19vXJMH44,0,green car is flying backwards
1f19vXJMH44,1,man in green crouching on the far side of the road
1fAi5HWssg0,0,a red car is rotating over itself
1fjyjBE5YMU,0,a  man with yellow shirt is standing
1fjyjBE5YMU,1,man in yellow top jumping up and down
1gl7xr5rftc,0,a cat is walking
1jPMMju2RD8,0,fat cat rolling on the floor
1kpyM0I-0B4,0,Baby boy in orange shirt climbing the chair
1nb-YMwqwW8,0,Guy in blue shirt climbing the steep rock
1nbDNSCrkVs,0,blue bird walking
1ov49K5aU6I,0,left bird climbing the cage
1qErZkpB6iA,0,duck walking on the road
1uBxI_52CGM,0,dog rolling on the grass
1wUH6OAaLCA,0,Bird eating rice near the window
1x32ooqnDs0,0,dog eating raw meat
1xRPT8Gfj_E,0,baby is crawling with dog
1xRPT8Gfj_E,1,dog crouching on the green floor
1yk4gDSh_Fc,0,girl eating
1zbiSzq-xPM,0,dog running on the road
20LJtpiuLYE,0,Baby in striped blue shirt climbing
20WmxUkD88c,0,white dog on the ground jumping
20WmxUkD88c,1,left most dog sitting on a chair
20WmxUkD88c,2,White poodle is sitting between two poodles on the left
20WmxUkD88c,3,the first from right white dog is sitting in a seat
20WmxUkD88c,4,white dog is spinning something
20WmxUkD88c,5,the white dog on the right is standing still
20WmxUkD88c,6,man in white standing on the top right
20_siizMMEU,0,white dog running on the grass
20iKj52b85Q,0,black cat walking on the lawn
21nY-4v59-A,0,woman in pink sitting on the floor
21nY-4v59-A,1,Baby is walking towards to mother 
22WMIu4Zd0w,0,a cat is climbing from a window
24uNGOMZqvU,0,a man is climbing up from a wall
25_fIVYBm3s,0,black and white cat running in the grass
25lRakxGC6M,0,a baby is walking
26lH0mg_i94,0,parrot rolling on the carpet
278HDxtYxn0,0,car jumping in the air
27SMSDGvyKk,0,baby boy climbing over the bed
28RUzMv5W40,0,baby in pink hat rolling
28yqDUz6WPw,0,white dog crawling
29WfZ0cCyXg,0,a man in rolling
2As2jOCFXUY,0,cat jumping up the wall
2Av_6yKYM84,0,a baby crawling
2DWN3ip-3bU,0,Black bird is searching food in the grass
2EJPCxODQcI,0,a ball is sliding on the floor
2EJPCxODQcI,1,a person is throwing a bowling ball
2EQCNAOMqNY,0,dog crawling on the floor
2EQCNAOMqNY,1,woman in blue shirt sitting on the floor
2Fa2hO60kM0,0,cat jumping on the grass
2G9DODKHHIM,0,seagull standing in the back
2G9DODKHHIM,1,a bird is running in the middle
2G9DODKHHIM,2,a white bird is standing in the middle
2G9DODKHHIM,3,bird on the right standing 
2G9DODKHHIM,4,seagull with black beak standing on the shore
2H2MW8Mx_Pc,0,baby in pink is climbing the iron fence
2HCnhT7qoLs,0,bird taking off the ground
2I8KjBvZaBY,0,a person in blue shirt is running
2I8KjBvZaBY,1,Woman in pink jacket running on the snowy road
2JYGqNacyBo,0,baby walking to a woman
2KciBrsCKEU,0,baby climbing the stone stairs
2KciBrsCKEU,1,Man in dotted shirt following the baby
2KlA77j6xAc,0,woman climbing rocks
2LDFWm4z3As,0,a car is flying on the air
2LDFWm4z3As,1,the man is watching a pickup truck go over a jump
2LDFWm4z3As,2,the man is watching a black truck do a jump
2LDFWm4z3As,3,man in black top and blue jeans standing on the left
2Mvpyv1Q9OA,0,a dog is jumping to catch a  frisbee
2RqQgW-h0PA,0, a green bird is rotating on the table
2RqQgW-h0PA,1,man in gray shirt sitting at the table
2S-5f_0DEGo,0,Woman in bikini is walking along the beach
2S1bLRzMoMQ,0,the man is watching another man do a roll
2S1bLRzMoMQ,1,the man is doing a roll
2S1bLRzMoMQ,2,Guy in white kimono standing in the back behind the trainer
2S1bLRzMoMQ,3,the man is doing a little dance
2VhgGur_QLQ,0,Gray car is jumping on the grass
2W1FphxgQFY,0,White car is jumping from the hill
2Z_MueLTkU4,0,a child is going out of his nest
2ZibDCWq4H8,0,a cute dutch guy with blonde hair is trying to walk and hold his parents hand
2ZibDCWq4H8,1,woman is walking to the left
2_W6uhRvTBI,0,Parrot is jumping from the table
2c-jWclrVN8,0,a yellowish bird is rolling on the floor
2c-jWclrVN8,1,a bird is sitting on a stick on the back
2cHtVc70If4,0,cat jumping down from stair
2cHtVc70If4,1,white ball on the bottom right
2cR343qUMmU,0,a big red and white ball is rolling on the ground
2e8_DZ0z8HE,0,yellow bird climbing along the rope
2ejL51qnSTc,0,cat climbing human leg
2etAQ9gzKo4,0,white is rolling on the carpet
2gpNBrZW8yg,0,cat rolling on the floor
2hGmD3U7F7I,0,car flipping over the ground
2jmySqjF9vM,0,a white bird is flying
2mIriLBSlco,0,White dog is running in the garden
2mM1IRHn090,0,car rolling on the road
2mTpW3518iE,0,cat jumping to the ball
2mTpW3518iE,1,man is throwing a ball to dog inside the house
2m_deenn9Bo,0,man on the left throwing a ball
2m_deenn9Bo,1,woman in black standing on the right
2m_deenn9Bo,2,a small yellow ball in the middle
2m_deenn9Bo,3,a man in black shirt in the middle is standing
2m_deenn9Bo,4,blue balls is lying near the wall
2m_deenn9Bo,5,a blue bar is sitting on the floor in the middle
2m_deenn9Bo,6,woman in black exercising with the ball
2mbKtAnU2c4,0,a cat is walking
2oNJan-y5cI,0,red car jumping 
2sDrR3lOWPY,0,woman somersaulting
2sDrR3lOWPY,1,a man in dark is standing near the camera
2sVjifV6rOM,0,Puppy in a sweater rolling on the floor
2sVjifV6rOM,1,Man is sitting on the knees
2svqS5sQVRw,0,a white car is jumping up an down
2svqS5sQVRw,1,man standing between two cars
2svqS5sQVRw,2,a black car is parked
2uwn-cDwpsM,0,an old model car is jumping in the same place 
2vTxnuWuc4E,0,a fat american guy is rolling on the grass
2vTxnuWuc4E,1,man rolling off the hill
2xSLG0gm_og,0,parrot climbing a cage
2yu9Qkdo4HY,0,baby is crawling the stairs
2yu9Qkdo4HY,1,man behind on the stairs
2zH86XBZW9M,0,the car is racing
2zH86XBZW9M,1,yellow car leading the race
2zH86XBZW9M,2,a white car on the second rank is moving
308iFEokW3k,0,cat is running in the spinning wheel
30y8Uy0B_uk,0,a man with blue shirt is climbing a wall
331z2cA-Q10,0,a dog is walking
33H-fW0qi6s,0,a green parrot is rolling on the carpet
33o3ffNNEHU,0,Brown dog rolling on the floor
34Z-fOOeWD8,0,the dog is crawling on the floor
34Z-fOOeWD8,1,black dog crawling on the ground
3596FFQZfwo,0,a dog is eating a red apple
35gSAMyMiC0,0,Baby in the diaper climbing the wooden stairs
36cQGW1yY7M,0,Baby in pink is walking towards a man
36cQGW1yY7M,1,man is standing on the carpet
36ox3vTtDJ4,0,man in black bouncing a basketball
36ox3vTtDJ4,1,the basketball is being dribbled between a man's legs
37A0J9SX6jg,0,Guy crawling under small pink gate
37IpwlB12CA,0,an asian guy is doing a trick
3Ai-kolEWo8,0,Kitten catching a rope
3Cazuwx_IyA,0,a guy with red shirt is shooting a red ball through the goal
3Cazuwx_IyA,1,a pink ball is flying on the air
3CcQVREqgPM,0,Huge air ball rolling down hill
3CcQVREqgPM,1,a big blob is rolling down from a hill
3CcQVREqgPM,2,man in yellow shirt standing on a small car
3CfyKqIHoZI,0,black cat is jumping inside the room
3CfyKqIHoZI,1,yellow ball on the bottom left
3CsZEY1TWNs,0,the bird playing on a coffee table
3CsZEY1TWNs,1,green soft ball is lying on the table
3CsZEY1TWNs,2,a man with brown pant is sitting on the left
3DQA-gR25aU,0,Guy in green boots running on the athletic track
3DQA-gR25aU,1,a man in black on the right is running
3F0miIJOpVM,0,woman in green hat standing on the grass
3F0miIJOpVM,1,Lady with white hat on the left throwing a ball
3F0miIJOpVM,2,volleyball flying over the net
3F0miIJOpVM,3,Man in pink shirt standing in the back
3GEsLoeltAs,0,Dog is crazily rolling its body
3HSt4zAk500,0,cat climbing on the human leg
3KZt_zA7Z80,0,baby in pink crawling on the floor
3OL8ka2qRjw,0,Green bird is eating a breakfast
3OOe0PEsosM,0,a cat is eating food
3OtYVbDsbl4,0,dog rolling on the grass
3Ouf2rVTT_U,0,the man in a yellow jersey is running in a long distance race
3Ouf2rVTT_U,1,Man in light blue shirt leading the running group
3Ouf2rVTT_U,2,a man in blue shirt on the right is running
3QlWEqI_VmI,0,White seagull is flying in the city
3SKyc0aKx70,0,a man is jumping up and down
3SRV3qqUkMk,0,a car is rolling on the ground
3TVtsHzjk0g,0,a black and white cat is jumping and playing
3U3rWowWV38,0,black dog rolling on the grass
3W48_zP80Jc,0,the green and yellow bird is playing with a toy
3W4aL4r3NQg,0,child climbing the stairs
3WQSG8hqaKA,0,Car flying from the trampoline
3Xb7MttBGtc,0,a baby in green shirt is walking
3YK4apSy4no,0,a cat is climbing up a ladder
3bbN_4bq6Xc,0,a guy on the left is doing karate
3bbN_4bq6Xc,1,man got kicked in the head
3bbN_4bq6Xc,2,the white man on the left is rolling on the air
3gGT-k9RMRc,0,Little puppy is eating a pet food
3gbe-0L9yiA,0,the dog is running
3grcsJN2C4U,0,a brownish cat is walking on a shelf
3hge80zUXb8,0,parrot is lying in the cage
3jIojfAMv_M,0,baby rolling
3jiGoLRFnJY,0,a dog is rolling and playing
3kntCqeudw0,0,a white car is flying
3kntCqeudw0,1,two people standing on the right side of the road
3kntCqeudw0,2,a man is watching on the left
3mX_Jd-Buac,0,dog crawling on the street
3mX_Jd-Buac,1,the person is walking
3nP5KcPsPDg,0,a child is crawling on the floor
3nrmzQRSA9E,0,blue car flying over the road
3pcBcmE8BlQ,0,bird jumping on the ground
3pv6hzphecU,0,a pink baby is climbing the stairs
3rbzcgnKWV8,0,man in blue shirt and dark blue short pants standing
3rbzcgnKWV8,1,man in white top standing in the center
3rbzcgnKWV8,2,a woman is jumping
3rbzcgnKWV8,3,woman in pink top and black shorts sitting on the left
3ur7UqCDaVU,0,parrot jumping up and down on the bed
3vWwbS4yslg,0,Half naked man climbing the rock
3w-Jn2DNiLo,0,Boy climbing over plastic fence in the house
3wG7GhHBspI,0,man climbing the rocks
3z75155Qh0I,0,Brown dog is eating on the white floor
3z75155Qh0I,1,dog jumping for food
3z75155Qh0I,2,a woman is standing and playing with a dog
3zmjFdWEYCg,0,baby crawling on the floor
3zsM3jBwWIM,0,green car running on the street
3zsM3jBwWIM,1,man in gray suits walking
3zsM3jBwWIM,2,man in gray top walking on the left
3zsM3jBwWIM,3,a man in white tshirt is walking
40N9GKNzkpE,0,Cat is walking on the snow
41Q3PJYW-e4,0,baby in yellow top crawling on the floor
42vGy77iTwM,0,a black and white bird is running
43cCJXD45xw,0,a dog is jumping up and down
45H1pUXQXos,0,White is rolling on the road
45hI5NIGjoM,0,white dog crawling on the grass
45jD2spRMJs,0,Colorful parrot is climbing the tree
46sfTmrOT2E,0,the green car is flipping onto its roof
47ZD2oiCcZ8,0,baby crawling towards the camera
