video_id,query
30_(dead-hang)_pull-ups_pullup_u_cm_np1_ba_med_1,man pulling up
30_(dead-hang)_pull-ups_pullup_u_cm_np1_ba_med_2,man in shorts pulling up
32_Pull-ups_at_193IBS_pullup_f_cm_np1_ba_med_0,a man is doing pull up
32_Pull-ups_at_193IBS_pullup_f_cm_np1_ba_med_1,a top naked man is doing pull ups
32_Pull-ups_at_193IBS_pullup_f_cm_np1_ba_med_2,man in black shorts pulling up
35_pull_ups_pullup_f_nm_np1_fr_goo_0,topless man pulling up on the beach
35_pull_ups_pullup_f_nm_np1_fr_goo_1,topless man pulling up on the beach
35_pull_ups_pullup_f_nm_np1_fr_goo_2,a top naked man is pulling up
50_FIRST_DATES_run_f_cm_np1_ba_med_12,a man is running
50_FIRST_DATES_run_f_cm_np1_ri_med_21,woman running on the shore
50_FIRST_DATES_walk_f_cm_np1_le_med_33,man in blue shirt walking on the boat deck
50_FIRST_DATES_wave_u_cm_np1_fr_goo_30,man in blue waving his hands
6arrowswithin30seconds_shoot_bow_f_nm_np1_fr_med_0,man shooting bow
6arrowswithin30seconds_shoot_bow_f_nm_np1_fr_med_1,man with long hair shooting bow
6arrowswithin30seconds_shoot_bow_f_nm_np1_fr_med_2,a person is playing archery
6arrowswithin30seconds_shoot_bow_f_nm_np1_fr_med_3,a man is playing archery
6arrowswithin30seconds_shoot_bow_f_nm_np1_fr_med_4,a man is playing archery
6arrowswithin30seconds_shoot_bow_f_nm_np1_fr_med_5,man shooting bow
8YearOldHitsaHomeRunBaseball_swing_baseball_f_cm_np1_fr_bad_0,player in blue shirt and white pants swing baseball
@20_Rhythm_clap_u_nm_np1_fr_goo_0,man clapping hands
@20_Rhythm_clap_u_nm_np1_fr_goo_1,a man is doing hand clapping
@20_Rhythm_clap_u_nm_np1_le_goo_3,man in black suit clapping hands in front of the whiteboard
A_Beautiful_Mind_3_sit_f_cm_np1_fr_med_6,a man in black jacket is sitting
A_Beautiful_Mind_3_sit_f_cm_np1_le_med_4,a man is sitting on a bench
A_Beautiful_Mind_4_run_f_cm_np1_ba_med_9,man in black suits running
A_Beautiful_Mind_4_stand_f_cm_np1_fr_med_13,woman standing up from the chair
A_Beautiful_Mind_5_run_u_cm_np1_fr_med_7,a woman is running
A_Beautiful_Mind_6_stand_u_cm_np1_fr_med_3,a man is standing up
A_Round_of_Applause_clap_u_cm_np1_fr_med_0,a baby is clapping his hands
A_Round_of_Applause_clap_u_cm_np1_fr_med_1,baby clapping hands
AboutABoy_throw_f_nm_np1_ba_med_2,man throwing something into the river
AboutABoy_throw_u_nm_np1_ba_med_3,boy throwing something into the river
Abschieds-winken_!!!!!!_Gruss_Guido_wave_u_cm_np1_fr_bad_1,man waving his hands
AgriculturalAviation_walk_f_nm_np1_le_med_1,man in white walking in the field
Alex_applauding_himself_clap_u_nm_np1_fr_med_0,baby sitting and clapping hands on the floor
Alexander_pushing_the_table_push_f_cm_np1_ba_bad_1,baby pushing the small table
Alexander_pushing_the_table_push_f_cm_np1_le_bad_0,baby pushing a small table
AllThePresidentMen_sit_f_nm_np1_fr_goo_3,woman sitting down on the couch
AllThePresidentMen_sit_f_nm_np1_ri_med_7,man sitting down on the chair
Amazing_Soccer_@2_kick_ball_f_cm_np1_le_bad_2,a boy with white hoodie is shooting a football ball
Amazing_Soccer_@2_kick_ball_u_cm_np1_ba_bad_0,a boy in white hoodie is shooting a football ball
AmericanGangster_run_f_cm_np1_le_med_18,a man in black is standing up and running
AmericanGangster_sit_f_cm_np1_fr_med_70,a man in white tshirt is bending on the right
AmericanGangster_stand_u_nm_np1_fr_med_55,man in suit standing up
AmericanGangster_walk_f_nm_np1_ba_med_72,a man is walking
AmericanGangster_walk_f_nm_np1_fr_med_38,a man in white shirt is walking
American_History_X_push_u_nm_np1_ba_med_22,woman pushing the door
American_History_X_run_f_cm_np1_le_med_17,man running on the street
American_History_X_shoot_gun_u_cm_np1_le_med_4,a top naked man is shooting a pistol
American_History_X_sit_f_cm_np1_le_med_27,a man sits
American_History_X_sit_u_cm_np1_fr_goo_39,man in blue shirt holding a beer and sitting down
American_History_X_sit_u_cm_np1_fr_med_6,a man in white shirt is sitting
American_History_X_sit_u_cm_np1_fr_med_8,man sitting down
American_History_X_wave_u_nm_np1_fr_med_16,man waving his hand
Anna_Rawson_Driver_Practice_golf_f_nm_np1_ri_bad_0,woman playing golf
Anna_Rawson_LPGA_golf_f_nm_np1_ri_goo_0,a woman is playing golf
Aplacetoshoot_shoot_gun_u_cm_np1_ba_med_3,girl shooting gun
Aplacetoshoot_shoot_gun_u_cm_np1_le_med_0,a woman in pink tshirt is shooting using a pistol
Aplacetoshoot_shoot_gun_u_cm_np1_le_med_1,girl in pink top shooting guns
Aplacetoshoot_shoot_gun_u_cm_np1_le_med_2,woman in pink striped shirt shooting gun
Applauding_Abby_clap_u_nm_np1_fr_med_0,baby sitting and clapping hands
Applauding_Abby_clap_u_nm_np1_fr_med_1,baby sitting and clapping hands
April_09_brush_hair_u_nm_np1_ba_goo_0,woman in white shirt brushing her hair
April_09_brush_hair_u_nm_np1_ba_goo_1,a woman is combing her hair
April_09_brush_hair_u_nm_np1_ba_goo_2,woman in white shirt brushing her hair
AprilshootinganMP5_shoot_gun_u_nm_np1_ri_med_0,a woman is shooting by a gun
ArcherShootsFOBArrowat100Yards_shoot_bow_u_nm_np1_fr_med_0,man in red top shooting bow
ArcherShootsFOBArrowat100Yards_shoot_bow_u_nm_np1_fr_med_1,a man in red tshirt is playing archery
ArcheryFastShooting_shoot_bow_u_nm_np1_fr_med_1,man shooting bow
ArcheryFastShooting_shoot_bow_u_nm_np1_fr_med_10,a man is playing archery
ArcheryFastShooting_shoot_bow_u_nm_np1_fr_med_11,a man is doing archery
ArcheryFastShooting_shoot_bow_u_nm_np1_fr_med_12,man shooting bow
ArcheryFastShooting_shoot_bow_u_nm_np1_fr_med_15,a person is playing archery
ArcheryFastShooting_shoot_bow_u_nm_np1_fr_med_17,a man is playing archery
ArcheryFastShooting_shoot_bow_u_nm_np1_fr_med_18,man shooting bow
ArcheryFastShooting_shoot_bow_u_nm_np1_fr_med_19,a boy is playing archery
ArcheryFastShooting_shoot_bow_u_nm_np1_fr_med_20,man shooting bow
ArcheryFastShooting_shoot_bow_u_nm_np1_fr_med_21,man shooting bow
ArcheryFastShooting_shoot_bow_u_nm_np1_fr_med_22,a boy is doing archery
ArcheryFastShooting_shoot_bow_u_nm_np1_fr_med_23,a boy is playing archery
ArcheryFastShooting_shoot_bow_u_nm_np1_fr_med_5,man shooting bow
ArcheryFastShooting_shoot_bow_u_nm_np1_fr_med_6,man shooting his bow
ArcheryFastShooting_shoot_bow_u_nm_np1_fr_med_7,man shooting bow
ArcheryFastShooting_shoot_bow_u_nm_np1_fr_med_9,a boy is playing archery
Ariya_Swing_golf_f_cm_np1_fr_bad_0,a man in blue tshirt is playing golf
Arrasando_no_Le_Parkour_jump_f_cm_np1_le_bad_0,man jumping over the platform
Arrasando_no_Le_Parkour_jump_f_cm_np1_ri_bad_1,man jumping over the fence
Arrasando_no_Le_Parkour_jump_f_nm_np1_le_med_2,a boy jump over the fence in the parkour game
Arrasando_no_Le_Parkour_jump_f_nm_np1_ri_med_3,boy climbing over the fence
Ashleigh_Staley_Truck_Push_push_f_cm_np1_ba_med_4,woman pushing the car forward
Ashleigh_Staley_Truck_Push_push_f_cm_np1_ri_med_0,a woman in white tshirt is pushing a car
Ashleigh_Staley_Truck_Push_push_f_cm_np1_ri_med_1,a man is pushing a car
Aussie_Brunette_Brushing_Long_Hair_brush_hair_u_nm_np1_ba_med_3,woman brushing her hair
Aussie_Brunette_Brushing_Long_Hair_brush_hair_u_nm_np1_fr_goo_1,a girl is combing her hair
Aussie_Brunette_Brushing_Long_Hair_brush_hair_u_nm_np1_fr_goo_2,woman brushing her hair
Aussie_Brunette_Brushing_Long_Hair_brush_hair_u_nm_np1_fr_med_0,a girl is combing her hair
BATMAN_BEGINS_stand_f_cm_np1_fr_med_8,a man in black is standing up
BATMAN_BEGINS_wave_u_cm_np1_fr_med_19,a man is raising his hand
BIG_FISH_sit_f_nm_np1_fr_med_17,man sitting under the tree
BIG_FISH_stand_u_nm_np1_fr_med_27,man standing up from chair
BIG_FISH_walk_f_nm_np1_fr_med_2,a man is walking
BIG_FISH_wave_u_nm_np1_fr_bad_4,man in black waving his hand
BIG_FISH_wave_u_nm_np1_fr_goo_9,a man is moving his hands
BLACK_HAWK_DOWN_run_f_cm_np1_ba_med_30,a soldier is running in the street
BLACK_HAWK_DOWN_run_f_nm_np1_ba_med_31,soldier running
BLACK_HAWK_DOWN_run_l_nm_np1_ba_med_33,a soldier is running
BRIDGETOTERABITHIA_sit_f_nm_np1_fr_med_0,boy sitting down on the chair
BRIDGETOTERABITHIA_stand_f_nm_np1_fr_med_1,boy picking up his shoes from the ground
Baby_Bob_kann_klatschen_!_clap_u_cm_np1_fr_med_0,a woman in red tshirt is clapping his hands
Baby_Push_Cart_push_f_cm_np1_ri_bad_0,a baby is pushing a basket
Baby_Push_Cart_push_f_cm_np1_ri_bad_1,baby pushing the shopping cart
Baby_Push_Cart_push_f_cm_np1_ri_bad_2,baby pushing the shopping cart
Baddest_Fight_Scenes_EVER!_-_Kill_Bill__Vol___1_-_vs__Crazy_88_s_climb_stairs_f_nm_np1_fr_med_3,a man is going down the stairs
Ballfangen_catch_u_cm_np1_fr_goo_0,a boy is yellow tshirt is catching a ball
Ballfangen_catch_u_cm_np1_fr_goo_1,boy in yellow shirt and black shorts catching the football
Ballfangen_catch_u_cm_np1_fr_goo_2,boy in yellow shirt catching the football
Banned_Commercials_-_Nike_-_Soccer_vs_ninjas_kick_ball_f_nm_np1_fr_goo_1,a man in black is playing with a ball
Banned_Commercials_-_Nike_-_Soccer_vs_ninjas_kick_ball_f_nm_np1_fr_goo_3,man kicking football
Bartender_School_Students_Practice_pour_u_cm_np1_fr_med_1,a man is pouring something to a glass
Bartender_School_Students_Practice_pour_u_cm_np1_fr_med_3,woman pouring out cocktails
Bartender_of_America_Bartending_School_pour_u_cm_np1_fr_med_0,a man is pouring something to a glass
Bartender_of_America_Bartending_School_pour_u_cm_np1_fr_med_1,man in black shirt pour water into the glass
Bartender_of_America_Bartending_School_pour_u_cm_np1_fr_med_2,a man is pouring
BaseballSwingAnalysis_swing_baseball_f_nm_np1_fr_med_11,man in white shirt swing baseball
BaseballSwingAnalysis_swing_baseball_f_nm_np1_fr_med_12,man playing baseball
BaseballSwingAnalysis_swing_baseball_f_nm_np1_fr_med_8,man in white shirt swing baseball
BaseballSwingAnalysis_swing_baseball_f_nm_np1_fr_med_9,a man is hitting a ball by a baseball bat
BaseballSwingAnalysis_swing_baseball_u_nm_np1_ba_med_0,man in white swing baseball
BaseballSwingAnalysis_swing_baseball_u_nm_np1_ba_med_1,man in white shirt swing baseball
BaseballSwingAnalysis_swing_baseball_u_nm_np1_ba_med_2,man in white shirt and black helmet swing baseball
BaseballSwingAnalysis_swing_baseball_u_nm_np1_ba_med_3,a man is hitting a ball by a baseball bat
BaseballSwingAnalysis_swing_baseball_u_nm_np1_ba_med_4,man in white shirt swing baseball bat
BaseballSwingAnalysis_swing_baseball_u_nm_np1_fr_med_10,a man in white tshirt is hitting a ball by a baseball bat
BaseballSwingAnalysis_swing_baseball_u_nm_np1_fr_med_13,a man is hitting a ball by a baseball bat
Basic_Exercise_Plans_-_How_to_Do_a_Pull-Up_pullup_f_cm_np1_le_goo_1,a man in black is doing pull up
Basic_Vodka_Recipes_-_How_to_Make_a_Shirley_Temple_pour_u_cm_np1_fr_med_0,woman pouring out some beer
Basic_Vodka_Recipes_-_How_to_Make_a_Shirley_Temple_pour_u_cm_np1_fr_med_1,woman pouring liquor
Bayerisch_leben-_Weissbier_richtig_eingeschenkt_pour_u_nm_np1_fr_med_0,man pouring some beer
Become_a_Professional_Bartender_pour_u_cm_np1_fr_med_0,bartender in black pouring the cocktail
Become_a_Professional_Bartender_pour_u_cm_np1_fr_med_1,a man is pouring something into a glass
Become_a_Professional_Bartender_pour_u_cm_np1_fr_med_2,man in black pouring liquor
Bier_richtig_einschenken_pour_u_cm_np1_fr_med_0,man pouring beer
Bier_richtig_einschenken_pour_u_cm_np1_fr_med_1,a man is pouring beer to a glass
Boom_Snap_Clap_clap_u_nm_np1_fr_med_0,girl clapping her hands
Boom_Snap_Clap_clap_u_nm_np1_fr_med_1,a woman is clapping her hands
Boom__Snap__Clap!_(Challenge)_clap_u_nm_np1_fr_med_1,man in black shirt clapping his hands
Bottoms_Up_-_Bartending_Lesson__The_Margarita!_pour_u_nm_np1_fr_goo_0,man pouring out some liquor
Bottoms_Up_-_Bartending_Lesson__The_Margarita!_pour_u_nm_np1_fr_goo_2,man pouring out some liquor
Box_Pull_Push_push_f_cm_np1_ba_bad_2,a man is pushing a box on the floor
Box_Pull_Push_push_f_cm_np1_ba_bad_3,a man is pushing a box on the floor
Box_Pushing_push_f_cm_np1_ri_med_0,a man is pushing another man inside the box
Britney_Spears_-_Comercial_Pepsi_soccer_kick_ball_f_nm_np1_ba_med_0,player kicking football
Brushing_Hair_with_Beth_brush_hair_h_nm_np1_le_goo_0,girl brushing her hair
Brushing_Hair_with_Beth_brush_hair_u_nm_np1_fr_goo_1,a person is combing her hair
Brushing_Hair_with_Beth_brush_hair_u_nm_np1_fr_goo_2,woman brushing her hair
Brushing_hair__the_right_way_brush_hair_u_nm_np1_fr_goo_0,a girl is combing her hair
Brushing_hair__the_right_way_brush_hair_u_nm_np1_fr_goo_1,woman in purple brushing her hair
Brushing_hair__the_right_way_brush_hair_u_nm_np1_fr_goo_2,girl in purple brushing hair
Brushing_my_Long_Hair__February_2009_brush_hair_u_nm_np1_ba_goo_1,a woman is combing her hair
Brushing_my_Long_Hair__February_2009_brush_hair_u_nm_np1_ba_goo_2,a woman is combing her hair
Brushing_my_hair_-_December_2008_brush_hair_u_cm_np1_ba_goo_1,a woman is combing her hair
Brushing_my_hair_-_December_2008_brush_hair_u_cm_np1_ba_goo_2,a woman is combing her hair
Brushing_my_hair_-_December_2008_brush_hair_u_nm_np1_ba_goo_0,woman brushing her hair
Brushing_my_long_hair_brush_hair_u_nm_np1_ba_goo_2,man brushing his long blond hair
Brushing_my_long_hair_brush_hair_u_nm_np1_fr_goo_0,man brushing his long hair
Brushing_my_long_hair_brush_hair_u_nm_np1_fr_goo_1,a girl is combing her long hair
Budam_-_Clap_Hands_clap_u_nm_np1_fr_med_0,man in black sitting above the piano and clapping his hands
Budam_-_Clap_Hands_clap_u_nm_np1_fr_med_1,man sitting above the piano and clapping hands
Bush_Wave_vs__Obama_Wave_and_Which_Commander-in-chief_Salutes_the_Best__You_Decide_wave_u_cm_np1_fr_med_0,man in black waving his hand
Bush_Wave_vs__Obama_Wave_and_Which_Commander-in-chief_Salutes_the_Best__You_Decide_wave_u_cm_np1_fr_med_1,a man is walking and waving his hand
Bush_Wave_vs__Obama_Wave_and_Which_Commander-in-chief_Salutes_the_Best__You_Decide_wave_u_cm_np1_fr_med_2,a man with black jacket is waving his hand
Bush_Wave_vs__Obama_Wave_and_Which_Commander-in-chief_Salutes_the_Best__You_Decide_wave_u_cm_np1_fr_med_3,man in black suit waving his hand
Bush_Wave_vs__Obama_Wave_and_Which_Commander-in-chief_Salutes_the_Best__You_Decide_wave_u_cm_np1_fr_med_4,a man in suit is walking while waving his hand
Bush_Wave_vs__Obama_Wave_and_Which_Commander-in-chief_Salutes_the_Best__You_Decide_wave_u_cm_np1_fr_med_8,man in black suit waving hands
Bush_Wave_vs__Obama_Wave_and_Which_Commander-in-chief_Salutes_the_Best__You_Decide_wave_u_cm_np1_fr_med_9,man in suit waving his hands
Bush_Wave_vs__Obama_Wave_and_Which_Commander-in-chief_Salutes_the_Best__You_Decide_wave_u_cm_np1_le_med_6,man in black waving his hand
Cachaca_cocktails_pour_u_nm_np1_fr_med_0,man in yellow shirt pouring out some liquor
Cachaca_cocktails_pour_u_nm_np1_fr_med_1,man in yellow shirt pouring out some liquor
Cachaca_cocktails_pour_u_nm_np1_fr_med_2,a man in yellow tshirt is pouring something into a glass
Casie_Cathrea_golf_f_nm_np1_fr_med_0,a girl is playing golf
CastAway1_run_f_cm_np1_ri_med_2,a man is running
Catch_Me_If_You_Can_pick_f_cm_np1_ri_med_5,a man is bending to get something from the sofa
Catch_Me_If_You_Can_run_u_cm_np1_fr_med_9,man running on the road
CharlieAndTheChocolateFactory_sit_f_nm_np1_fr_med_3,man in white sitting down on the throne
CharlieAndTheChocolateFactory_sit_f_nm_np1_le_med_7,boy sitting down on the bed
CharlieAndTheChocolateFactory_wave_u_nm_np1_fr_bad_1,a man is moving his hand
Chris_Benoit_waving_goodbye_wave_u_nm_np1_fr_med_0,a man is waving his hand
Chris_Benoit_waving_goodbye_wave_u_nm_np1_fr_med_1,a man is waving hand
Clap_Hands_clap_u_nm_np1_fr_med_2,man sitting at the table and clapping his hands
Clay_sBasketballSkillz_pick_f_nm_np1_ba_med_0,a man in white tshirt is bending to take the ball
Clay_sBasketballSkillz_pick_f_nm_np1_ri_med_8,man picking up the basketball
Clay_sBasketballSkillz_shoot_ball_f_nm_np1_ba_med_13,a man is throwing a basketball ball
Clay_sBasketballSkillz_shoot_ball_f_nm_np1_ba_med_14,man shooting a basketball
Clay_sBasketballSkillz_shoot_ball_f_nm_np1_ba_med_15,a boy is throwing a basketball ball
Clay_sBasketballSkillz_shoot_ball_f_nm_np1_ba_med_2,a boy in white tshirt is throwing a ball
Clay_sBasketballSkillz_shoot_ball_f_nm_np1_ba_med_3,a boy in white tshirt is throwing a ball to the basket
Clay_sBasketballSkillz_shoot_ball_f_nm_np1_ba_med_5,a man is throwing a basketball ball
Clay_sBasketballSkillz_shoot_ball_f_nm_np1_ba_med_6,man in white shirt and red shorts playing basketball
Clay_sBasketballSkillz_shoot_ball_f_nm_np1_ba_med_7,a man in white tshirt is throwing a ball
Clay_sBasketballSkillz_shoot_ball_u_nm_np1_ba_med_11,a boy is throwing a ball to the basket
Clay_sBasketballSkillz_shoot_ball_u_nm_np1_ba_med_12,a man is throwing a ball
Clay_sBasketballSkillz_shoot_ball_u_nm_np1_ba_med_16,a boy is jumping and throwing a basketball ball
Clay_sBasketballSkillz_shoot_ball_u_nm_np1_ba_med_17,a boy in white tshirt is throwing a ball to the basket
Clay_sBasketballSkillz_shoot_ball_u_nm_np1_ba_med_9,man playing basketball
Cobra_Golf_-_Camilo_Villegas_golf_f_cm_np1_ri_goo_0,man in black swing golf ball
Cobra_Golf_-_Camilo_Villegas_golf_f_cm_np1_ri_goo_1,a person in black clothes is playing golf
Collecting_litter_on_the_woodland_ground_surface_pick_f_nm_np1_fr_med_0,a man is bending to pick up a leaf
Compilationknifethrowing_throw_u_nm_np1_ba_med_0,a man is throwing a stick
Compilationknifethrowing_throw_u_nm_np1_ba_med_1,a man is throwing a stick
Compilationknifethrowing_throw_u_nm_np1_ba_med_10,woman throwing dart
Compilationknifethrowing_throw_u_nm_np1_ba_med_11,a man is throwing a stick
Compilationknifethrowing_throw_u_nm_np1_ba_med_12, man is throwing something
Compilationknifethrowing_throw_u_nm_np1_ba_med_13,a man is throwing a ball
Compilationknifethrowing_throw_u_nm_np1_ba_med_14,a boy is throwing a dart
Compilationknifethrowing_throw_u_nm_np1_ba_med_15,woman throwing darts
Compilationknifethrowing_throw_u_nm_np1_ba_med_16,a man is throwing a stick
Compilationknifethrowing_throw_u_nm_np1_ba_med_17,a man is throwing an stick
Compilationknifethrowing_throw_u_nm_np1_ba_med_18,a man is throwing a stick
Compilationknifethrowing_throw_u_nm_np1_ba_med_19,man throwing darts
Compilationknifethrowing_throw_u_nm_np1_ba_med_2,woman throwing darts
Compilationknifethrowing_throw_u_nm_np1_ba_med_3,a man is throwing a stick
Compilationknifethrowing_throw_u_nm_np1_ba_med_4,woman throwing dart
Compilationknifethrowing_throw_u_nm_np1_ba_med_5,man throwing darts
Compilationknifethrowing_throw_u_nm_np1_ba_med_6,man throwing darts
Compilationknifethrowing_throw_u_nm_np1_ba_med_7,man throwing darts
Compilationknifethrowing_throw_u_nm_np1_ba_med_8,a man is throwing a stick
Compilationknifethrowing_throw_u_nm_np1_ba_med_9,a man is throwing a stick
Crash_run_f_cm_np1_fr_med_17,man in black running next to the car 
Crash_stand_f_cm_np1_le_med_15,man standing up from the chair
Crash_stand_f_cm_np1_ri_bad_12,a man is standing up
Crash_stand_u_nm_np1_le_med_6,man standing up from couch
Cross_Pushing_Table_push_f_cm_np1_ba_bad_2,baby pushing the blue chair
Cross_Pushing_Table_push_f_cm_np1_fr_bad_3,a kid is pushing his toy
Cross_Pushing_Table_push_f_cm_np1_fr_bad_7,baby pushing chair
Cross_Pushing_Table_push_f_cm_np1_ri_bad_4,baby pushing chair in the room
Cuba_Libre_-_Just_do_it_with_Drinkadrink_com_pour_u_nm_np1_fr_goo_0,a man is pouring something into the glass
DONNIE_DARKO_wave_u_nm_np1_fr_goo_9,a woman is waving her hand
DWK_1_-_Der_ganze_Film_(Part_8_9)_kick_ball_f_cm_np1_ba_goo_0,boy in yellow shirt kicking football
Das_Wunder_von_Bern_(Deutschland_2002_2003)_kick_ball_f_cm_np1_fr_goo_2,a man is shooting a football ball
Das_Wunder_von_Bern_(Deutschland_2002_2003)_kick_ball_f_cm_np1_ri_goo_3,man in black suit kicking ball
Davis_Love_III__Beautiful_swing!_golf_f_cm_np1_ri_med_0,man swing golf ball
DefensivePistolShootingTechniques_shoot_gun_f_nm_np1_fr_med_0,man shooting guns
DefensivePistolShootingTechniques_shoot_gun_f_nm_np1_fr_med_1,man shooting gun
DefensivePistolShootingTechniques_shoot_gun_f_nm_np1_fr_med_3,man shooting gun
DefensivePistolShootingTechniques_shoot_gun_f_nm_np1_fr_med_6,man in green vest and blue jeans shooting guns
DefensivePistolShootingTechniques_shoot_gun_f_nm_np1_ri_med_5,a man is shooting a pistol
Deutscher_Klatsch_-_The_Clap_-_Lexy_clap_f_cm_np1_fr_med_5,woman in red dress clapping her hands on the stage
Dhan_Dhana_Dhan_Goal_(2007)_w__Eng_Sub_-_Watch_Online_-_4_16_kick_ball_f_cm_np1_fr_goo_3, man in black is playing with a ball
Dhan_Dhana_Dhan_Goal_(2007)_w__Eng_Sub_-_Watch_Online_-_4_16_kick_ball_f_cm_np1_ri_goo_0,man in blue kicking the football
Die_Pfandpiraten_Doku_pick_f_cm_np1_ba_med_2,man picking up something on the tram
Documentario_Le_Parkour_Londrina_jump_f_cm_np1_fr_bad_10,man jumping over the street pillars 
Documentario_Le_Parkour_Londrina_jump_f_cm_np1_ri_bad_5,a man is jumping
Documentario_Le_Parkour_Londrina_jump_f_cm_np1_ri_bad_6,man jumping onto the platform
Documentario_Le_Parkour_Londrina_jump_f_nm_np1_ba_bad_1,man jumping over the metal tube
Documentario_Le_Parkour_Londrina_jump_f_nm_np1_le_bad_8,man jumping over the fence
Documentario_Le_Parkour_Londrina_jump_f_nm_np1_ri_bad_2,man in yellow shirt jumping onto the fence
Documentario_Le_Parkour_Londrina_jump_f_nm_np1_ri_bad_4,a man is jumping
Documentario_Le_Parkour_Londrina_jump_f_nm_np1_ri_bad_7,man jumping onto the wall
Dollar_Prank_at_the_Rivertown_Mall_pick_f_cm_np1_le_med_0,man bending down to pick up things
Dollar_Prank_at_the_Rivertown_Mall_pick_f_nm_np1_fr_med_3,a woman is bending to grab something
Drink_@18_-_Apple_martini_pour_u_nm_np1_fr_goo_0,a man is pouring 
Drink_@18_-_Apple_martini_pour_u_nm_np1_fr_goo_1,a man is pouring something into the glass
Drink_@18_-_Apple_martini_pour_u_nm_np1_fr_goo_2,man pouring out some liquor
Dual9mm_shoot_gun_u_cm_np1_ri_goo_0,a man is shooting a pistol
EVOLUTION_stand_f_nm_np1_le_med_15,man standing up from the sofa
EVOLUTION_walk_f_cm_np1_fr_med_23,man in yellow walking
EVOLUTION_wave_u_cm_np1_fr_med_4,a man is moving his hand
EVOLUTION_wave_u_nm_np1_fr_med_18,a man is raising and waving his hand
EasternPromises_sit_f_cm_np1_ri_med_3,woman in blue sitting down
EasternPromises_sit_f_nm_np1_ri_med_4,a woman is holding a kid while sitting in a bench
Eight_wide_grip_pull-ups_pullup_u_cm_np1_ba_med_0,a woman is doing pull up
Eight_wide_grip_pull-ups_pullup_u_cm_np1_ba_med_1,a woman is doing pull up
Eight_wide_grip_pull-ups_pullup_u_cm_np1_ba_med_2,woman in gray pulling up
Ella_brushing_her_amazing_long_hair_brush_hair_u_cm_np1_ba_goo_0,a girl is combing her hair
Ella_brushing_her_long_blonde_hair___again_brush_hair_u_cm_np1_ba_goo_0,woman brushing her long hair
Ella_brushing_her_long_blonde_hair___again_brush_hair_u_cm_np1_ba_goo_2,woman brushing her long hair
Ella_brushing_her_long_blonde_hair___again_brush_hair_u_cm_np1_le_goo_1,woman brushing her hair
